student_id,student_major,student_concentration,student_age,student_gender,student_name,student_batch,student_gpa,completed_credits,required_credits,number_of_replaces,max_credits/semester
68,Mathematics,Mathematics,21,Male,Yehia Youssef,2023,2.37,48,96,2,12
69,Science,Science,22,Female,Toaa Moustafa,2023,1.32,32,112,4,12
70,Computer Science,Information Technology,23,Male,Youssef Tamer,2022,3.34,80,64,0,16
71,Engineering,Engineering,20,Female,Toaa Yehia,2020,2.07,128,16,2,12
72,Science,Science,23,Male,Mahmoud Khalid,2020,4.0,128,16,0,16
73,Computer Science,Information Technology,20,Female,Yousra Mohamed,2021,3.49,96,48,0,16
74,Computer Science,Software Engineering,21,Male,Yehia Youssef,2023,1.0,48,96,4,12
75,Engineering,Engineering,23,Female,Doaa Mohamed,2021,2.62,112,32,1,16
76,Engineering,Engineering,20,Male,Mohamed Abdelrahman,2021,3.0,112,32,0,16
77,Mathematics,Mathematics,25,Female,Doaa Yehia,2023,1.21,32,112,4,12
78,Computer Science,Data Science,18,Male,Mahmoud Mohamed,2021,2.83,112,32,1,16
79,Mathematics,Mathematics,18,Female,Doaa Mahmoud,2022,2.57,64,80,1,16
80,Computer Science,Information Technology,20,Male,Mohamed Naser,2023,1.48,48,96,4,12
81,Science,Science,19,Female,Yousra Yehia,2020,2.09,128,16,2,12
82,Computer Science,Software Engineering,23,Male,Mahmoud Naser,2020,3.78,128,16,0,16
83,Mathematics,Mathematics,18,Female,Sabah Yehia,2023,1.32,48,96,4,12
84,Engineering,Engineering,20,Male,Youssef Naser,2023,1.52,48,96,3,12
85,Science,Science,19,Female,Toaa Naser,2021,4.0,96,48,0,16
86,Engineering,Engineering,18,Male,Mahmoud Moustafa,2024,1.34,16,128,4,12
87,Mathematics,Mathematics,24,Female,Yousra Khalid,2021,4.0,112,32,0,16
88,Computer Science,Information Technology,22,Male,Khalid Youssef,2022,3.88,80,64,0,16
89,Science,Science,21,Female,Sabah Ahmed,2024,3.15,16,128,0,16
90,Science,Science,19,Male,Moustafa Ahmed,2021,3.14,112,32,0,16
91,Science,Science,22,Female,Doha Mahmoud,2021,1.37,112,32,4,12
92,Science,Science,19,Male,Moustafa Abdelrahman,2023,0.58,48,96,4,12
93,Computer Science,Information Technology,19,Female,Doha Mohamed,2022,2.98,80,64,1,16
94,Computer Science,Software Engineering,24,Male,Ahmed Mohamed,2024,0.57,16,128,4,12
95,Computer Science,Data Science,22,Female,Sabah Ahmed,2023,3.57,32,112,0,16
96,Computer Science,Software Engineering,22,Male,Moustafa Yehia,2022,0.02,80,64,4,12
97,Engineering,Engineering,24,Female,Marwa Tamer,2020,1.78,128,16,3,12
98,Science,Science,23,Male,Youssef Mohamed,2024,0.0,16,128,4,12
99,Engineering,Engineering,25,Female,Doha Yehia,2020,1.38,128,16,4,12
100,Computer Science,Information Technology,22,Male,Tamer Khalid,2024,2.31,16,128,2,12
101,Engineering,Engineering,20,Female,Toaa Youssef,2023,0.84,32,112,4,12
102,Computer Science,Data Science,24,Male,Khalid Moustafa,2021,0.92,112,32,4,12
103,Computer Science,Information Technology,23,Female,Yousra Youssef,2022,0.53,64,80,4,12
104,Computer Science,Information Technology,22,Male,Mohamed Youssef,2021,3.25,112,32,0,16
105,Computer Science,Data Science,19,Female,Doaa Abdelrahman,2021,0.44,96,48,4,12
106,Computer Science,Software Engineering,21,Male,Ahmed Tamer,2024,1.76,16,128,3,12
107,Computer Science,Information Technology,18,Female,Marwa Yehia,2021,3.78,96,48,0,16
108,Mathematics,Mathematics,22,Male,Abdelrahman Mahmoud,2023,1.43,48,96,4,12
109,Computer Science,Data Science,18,Female,Doaa Tamer,2023,2.64,32,112,1,16
110,Mathematics,Mathematics,18,Male,Ahmed Yehia,2021,3.0,96,48,0,16
111,Mathematics,Mathematics,25,Female,Toaa Youssef,2021,0.59,112,32,4,12
112,Computer Science,Information Technology,24,Male,Mohamed Yehia,2020,2.46,128,16,2,12
113,Science,Science,20,Female,Esraa Ahmed,2021,3.02,112,32,0,16
114,Engineering,Engineering,21,Male,Abdelrahman Abdelrahman,2021,3.66,96,48,0,16
115,Mathematics,Mathematics,18,Female,Esraa Mohamed,2023,2.25,48,96,2,12
116,Engineering,Engineering,19,Male,Moustafa Mahmoud,2020,1.4,128,16,4,12
117,Engineering,Engineering,18,Female,Mariam Mahmoud,2023,1.19,48,96,4,12
118,Mathematics,Mathematics,24,Male,Moustafa Khalid,2021,3.59,112,32,0,16
119,Engineering,Engineering,21,Female,Marwa Khalid,2023,4.0,48,96,0,16
120,Mathematics,Mathematics,23,Male,Khalid Naser,2021,3.43,96,48,0,16
121,Engineering,Engineering,24,Female,Yousra Mohamed,2023,4.0,32,112,0,16
122,Science,Science,21,Male,Youssef Naser,2021,1.69,112,32,3,12
123,Science,Science,19,Female,Mayar Yehia,2021,1.11,96,48,4,12
124,Engineering,Engineering,23,Male,Mohamed Ahmed,2023,1.22,48,96,4,12
125,Computer Science,Information Technology,18,Female,Doha Moustafa,2023,2.08,32,112,2,12
126,Science,Science,21,Male,Mohamed Yehia,2022,2.64,64,80,1,16
127,Computer Science,Information Technology,25,Female,Mayar Ahmed,2020,2.04,128,16,2,12
128,Mathematics,Mathematics,19,Male,Mohamed Khalid,2022,1.22,80,64,4,12
129,Engineering,Engineering,20,Female,Marwa Mohamed,2023,0.08,48,96,4,12
130,Engineering,Engineering,22,Male,Khalid Mohamed,2024,3.43,16,128,0,16
131,Mathematics,Mathematics,20,Female,Yousra Naser,2021,2.37,112,32,2,12
132,Mathematics,Mathematics,25,Male,Abdelrahman Khalid,2020,1.55,128,16,3,12
133,Science,Science,18,Female,Mayar Mohamed,2021,1.58,96,48,3,12
134,Engineering,Engineering,20,Male,Yehia Tamer,2021,3.82,96,48,0,16
135,Engineering,Engineering,25,Female,Sabah Tamer,2023,3.05,48,96,0,16
136,Mathematics,Mathematics,20,Male,Abdelrahman Naser,2021,3.84,96,48,0,16
137,Science,Science,18,Female,Doha Moustafa,2022,2.68,64,80,1,16
138,Engineering,Engineering,23,Male,Moustafa Mohamed,2023,3.27,48,96,0,16
139,Engineering,Engineering,20,Female,Mayar Mahmoud,2021,1.06,112,32,4,12
140,Mathematics,Mathematics,18,Male,Ahmed Tamer,2023,1.25,32,112,4,12
141,Engineering,Engineering,22,Female,Doha Mahmoud,2020,3.04,128,16,0,16
142,Computer Science,Software Engineering,18,Male,Moustafa Ahmed,2023,3.67,48,96,0,16
143,Engineering,Engineering,18,Female,Sabah Mahmoud,2023,1.81,32,112,3,12
144,Engineering,Engineering,25,Male,Khalid Yehia,2022,0.59,80,64,4,12
145,Engineering,Engineering,24,Female,Sabah Khalid,2022,0.81,80,64,4,12
146,Mathematics,Mathematics,21,Male,Naser Mohamed,2022,0.52,80,64,4,12
147,Mathematics,Mathematics,19,Female,Esraa Mahmoud,2023,1.73,48,96,3,12
148,Science,Science,24,Male,Yehia Mahmoud,2020,3.59,128,16,0,16
149,Computer Science,Data Science,19,Female,Esraa Mahmoud,2024,2.49,16,128,2,12
150,Engineering,Engineering,18,Male,Mohamed Tamer,2021,1.93,112,32,3,12
151,Engineering,Engineering,21,Female,Doaa Naser,2021,3.67,112,32,0,16
152,Mathematics,Mathematics,24,Male,Tamer Ahmed,2022,2.35,64,80,2,12
153,Computer Science,Data Science,24,Female,Toaa Abdelrahman,2021,1.98,96,48,3,12
154,Mathematics,Mathematics,20,Male,Mohamed Yehia,2023,0.58,48,96,4,12
155,Mathematics,Mathematics,20,Female,Doha Naser,2021,3.91,96,48,0,16
156,Engineering,Engineering,21,Male,Mohamed Tamer,2023,0.84,32,112,4,12
157,Mathematics,Mathematics,21,Female,Mariam Khalid,2023,0.68,48,96,4,12
158,Mathematics,Mathematics,19,Male,Youssef Ahmed,2024,2.26,16,128,2,12
159,Computer Science,Data Science,21,Female,Toaa Moustafa,2021,1.95,112,32,3,12
160,Science,Science,24,Male,Khalid Mahmoud,2023,0.94,48,96,4,12
161,Science,Science,20,Female,Doaa Abdelrahman,2023,3.13,48,96,0,16
162,Mathematics,Mathematics,24,Male,Yehia Tamer,2021,3.0,112,32,0,16
163,Engineering,Engineering,21,Female,Mariam Abdelrahman,2023,2.13,48,96,2,12
164,Mathematics,Mathematics,21,Male,Mohamed Moustafa,2023,3.69,32,112,0,16
165,Engineering,Engineering,22,Female,Yousra Ahmed,2022,2.86,80,64,1,16
166,Science,Science,18,Male,Ahmed Abdelrahman,2023,0.98,32,112,4,12
167,Mathematics,Mathematics,20,Female,Doha Khalid,2024,3.38,16,128,0,16
168,Engineering,Engineering,20,Male,Khalid Mahmoud,2024,0.78,16,128,4,12
169,Computer Science,Data Science,25,Female,Mariam Moustafa,2023,1.2,32,112,4,12
170,Engineering,Engineering,21,Male,Khalid Mahmoud,2022,0.47,64,80,4,12
171,Computer Science,Information Technology,23,Female,Mariam Khalid,2023,3.38,32,112,0,16
172,Mathematics,Mathematics,19,Male,Yehia Tamer,2020,1.33,128,16,4,12
173,Mathematics,Mathematics,19,Female,Doaa Ahmed,2022,1.61,80,64,3,12
174,Engineering,Engineering,23,Male,Moustafa Tamer,2023,3.5,48,96,0,16
175,Engineering,Engineering,21,Female,Esraa Naser,2024,3.75,16,128,0,16
176,Computer Science,Data Science,21,Male,Ahmed Ahmed,2023,1.9,48,96,3,12
177,Science,Science,18,Female,Esraa Mohamed,2021,2.58,112,32,1,16
178,Mathematics,Mathematics,19,Male,Naser Ahmed,2020,3.62,128,16,0,16
179,Computer Science,Data Science,20,Female,Doaa Youssef,2022,2.27,64,80,2,12
180,Science,Science,20,Male,Ahmed Youssef,2023,0.36,48,96,4,12
181,Science,Science,19,Female,Mariam Abdelrahman,2023,3.43,48,96,0,16
182,Engineering,Engineering,22,Male,Abdelrahman Mohamed,2022,0.21,80,64,4,12
183,Science,Science,22,Female,Doaa Ahmed,2022,0.77,64,80,4,12
184,Computer Science,Information Technology,20,Male,Mohamed Mahmoud,2022,4.0,80,64,0,16
185,Mathematics,Mathematics,23,Female,Esraa Moustafa,2022,2.41,64,80,2,12
186,Engineering,Engineering,23,Male,Mohamed Tamer,2022,3.58,80,64,0,16
187,Engineering,Engineering,23,Female,Esraa Abdelrahman,2021,0.63,96,48,4,12
188,Computer Science,Information Technology,18,Male,Tamer Moustafa,2021,3.81,96,48,0,16
189,Science,Science,18,Female,Esraa Naser,2023,2.93,32,112,1,16
190,Mathematics,Mathematics,24,Male,Moustafa Tamer,2023,0.88,32,112,4,12
191,Mathematics,Mathematics,20,Female,Sabah Khalid,2021,1.57,96,48,3,12
192,Engineering,Engineering,24,Male,Khalid Naser,2020,0.62,128,16,4,12
193,Mathematics,Mathematics,21,Female,Sabah Moustafa,2023,1.39,48,96,4,12
194,Computer Science,Software Engineering,20,Male,Yehia Abdelrahman,2021,1.44,96,48,4,12
195,Science,Science,21,Female,Sabah Yehia,2023,2.57,32,112,1,16
196,Computer Science,Information Technology,18,Male,Tamer Moustafa,2024,0.62,16,128,4,12
197,Mathematics,Mathematics,23,Female,Doha Mahmoud,2021,3.15,112,32,0,16
198,Computer Science,Data Science,22,Male,Mahmoud Khalid,2021,1.74,112,32,3,12
199,Computer Science,Data Science,23,Female,Sabah Youssef,2023,0.97,48,96,4,12
200,Mathematics,Mathematics,18,Male,Mahmoud Yehia,2024,4.0,16,128,0,16
201,Mathematics,Mathematics,21,Female,Mayar Khalid,2021,3.3,96,48,0,16
202,Mathematics,Mathematics,21,Male,Yehia Mohamed,2021,1.8,96,48,3,12
203,Computer Science,Software Engineering,24,Female,Mariam Mahmoud,2023,3.15,32,112,0,16
204,Mathematics,Mathematics,18,Male,Youssef Khalid,2021,3.21,96,48,0,16
205,Science,Science,25,Female,Doaa Moustafa,2020,3.55,128,16,0,16
206,Engineering,Engineering,22,Male,Abdelrahman Mahmoud,2021,3.98,112,32,0,16
207,Engineering,Engineering,18,Female,Toaa Abdelrahman,2023,1.77,48,96,3,12
208,Computer Science,Information Technology,24,Male,Moustafa Mahmoud,2023,1.89,32,112,3,12
209,Science,Science,18,Female,Marwa Abdelrahman,2021,3.44,112,32,0,16
210,Engineering,Engineering,21,Male,Mohamed Mahmoud,2022,1.07,80,64,4,12
211,Mathematics,Mathematics,21,Female,Doha Tamer,2021,2.5,96,48,1,16
212,Computer Science,Data Science,20,Male,Ahmed Tamer,2022,2.09,80,64,2,12
213,Mathematics,Mathematics,23,Female,Yousra Youssef,2021,2.62,112,32,1,16
214,Computer Science,Data Science,21,Male,Naser Abdelrahman,2020,3.33,128,16,0,16
215,Computer Science,Software Engineering,22,Female,Doha Ahmed,2021,0.44,112,32,4,12
216,Science,Science,19,Male,Youssef Ahmed,2021,0.41,96,48,4,12
217,Engineering,Engineering,23,Female,Doaa Mahmoud,2021,4.0,96,48,0,16
218,Computer Science,Information Technology,19,Male,Naser Naser,2021,0.84,112,32,4,12
219,Mathematics,Mathematics,24,Female,Doaa Youssef,2022,3.0,64,80,0,16
220,Mathematics,Mathematics,23,Male,Yehia Moustafa,2022,3.25,64,80,0,16
221,Science,Science,21,Female,Mayar Mahmoud,2020,2.63,128,16,1,16
222,Science,Science,23,Male,Yehia Tamer,2024,1.21,16,128,4,12
223,Mathematics,Mathematics,22,Female,Mayar Naser,2023,1.74,32,112,3,12
224,Science,Science,21,Male,Mahmoud Moustafa,2022,1.11,64,80,4,12
225,Mathematics,Mathematics,19,Female,Mayar Mohamed,2023,3.69,48,96,0,16
226,Science,Science,24,Male,Naser Youssef,2021,1.29,96,48,4,12
227,Engineering,Engineering,20,Female,Yousra Moustafa,2022,1.31,64,80,4,12
228,Mathematics,Mathematics,21,Male,Ahmed Tamer,2023,3.69,48,96,0,16
229,Computer Science,Software Engineering,18,Female,Esraa Ahmed,2023,1.85,32,112,3,12
230,Computer Science,Software Engineering,21,Male,Mohamed Mohamed,2023,3.93,32,112,0,16
231,Science,Science,23,Female,Sabah Mohamed,2021,3.12,96,48,0,16
232,Engineering,Engineering,19,Male,Mahmoud Mohamed,2020,1.57,128,16,3,12
233,Computer Science,Software Engineering,19,Female,Marwa Yehia,2022,3.97,80,64,0,16
234,Mathematics,Mathematics,24,Male,Mahmoud Moustafa,2022,2.63,80,64,1,16
235,Science,Science,24,Female,Esraa Yehia,2023,3.1,32,112,0,16
236,Science,Science,25,Male,Naser Khalid,2023,3.51,48,96,0,16
237,Mathematics,Mathematics,18,Female,Doha Moustafa,2021,3.78,112,32,0,16
238,Mathematics,Mathematics,24,Male,Mahmoud Moustafa,2020,3.37,128,16,0,16
239,Engineering,Engineering,22,Female,Marwa Mahmoud,2024,1.17,16,128,4,12
240,Computer Science,Information Technology,23,Male,Yehia Naser,2023,0.11,32,112,4,12
241,Mathematics,Mathematics,20,Female,Mayar Naser,2022,2.88,80,64,1,16
242,Computer Science,Software Engineering,24,Male,Mahmoud Moustafa,2024,-0.13,16,128,4,12
243,Mathematics,Mathematics,25,Female,Sabah Naser,2021,-0.15,96,48,4,12
244,Engineering,Engineering,21,Male,Naser Ahmed,2020,1.99,128,16,3,12
245,Engineering,Engineering,25,Female,Sabah Mohamed,2022,4.0,64,80,0,16
246,Computer Science,Data Science,25,Male,Mahmoud Mohamed,2021,0.47,112,32,4,12
247,Science,Science,23,Female,Sabah Youssef,2020,-0.05,128,16,4,12
248,Mathematics,Mathematics,19,Male,Youssef Moustafa,2022,2.71,64,80,1,16
249,Engineering,Engineering,25,Female,Mayar Mahmoud,2022,0.84,80,64,4,12
250,Mathematics,Mathematics,24,Male,Mahmoud Ahmed,2023,4.0,32,112,0,16
251,Computer Science,Information Technology,20,Female,Sabah Mahmoud,2024,1.3,16,128,4,12
252,Computer Science,Data Science,22,Male,Yehia Abdelrahman,2024,3.33,16,128,0,16
253,Science,Science,23,Female,Esraa Moustafa,2023,3.26,32,112,0,16
254,Computer Science,Software Engineering,20,Male,Mohamed Khalid,2023,1.43,32,112,4,12
255,Computer Science,Information Technology,21,Female,Sabah Youssef,2024,0.16,16,128,4,12
256,Engineering,Engineering,23,Male,Moustafa Mohamed,2024,1.8,16,128,3,12
257,Science,Science,25,Female,Toaa Tamer,2021,3.19,96,48,0,16
258,Science,Science,24,Male,Ahmed Youssef,2023,1.48,32,112,4,12
259,Computer Science,Software Engineering,25,Female,Doha Naser,2023,3.24,32,112,0,16
260,Mathematics,Mathematics,25,Male,Mohamed Mohamed,2024,0.44,16,128,4,12
261,Science,Science,23,Female,Esraa Abdelrahman,2020,1.59,128,16,3,12
262,Computer Science,Data Science,21,Male,Abdelrahman Yehia,2021,3.1,96,48,0,16
263,Engineering,Engineering,24,Female,Mayar Mohamed,2021,1.11,112,32,4,12
264,Computer Science,Data Science,19,Male,Abdelrahman Youssef,2021,2.5,96,48,1,16
265,Mathematics,Mathematics,18,Female,Marwa Yehia,2021,0.39,96,48,4,12
266,Mathematics,Mathematics,18,Male,Ahmed Ahmed,2021,3.09,96,48,0,16
267,Engineering,Engineering,24,Female,Mayar Naser,2024,1.47,16,128,4,12
268,Science,Science,24,Male,Mahmoud Naser,2022,3.09,80,64,0,16
269,Science,Science,23,Female,Mariam Abdelrahman,2021,0.08,96,48,4,12
270,Mathematics,Mathematics,20,Male,Yehia Abdelrahman,2021,3.06,96,48,0,16
271,Computer Science,Information Technology,24,Female,Toaa Mahmoud,2023,1.38,32,112,4,12
272,Science,Science,18,Male,Tamer Ahmed,2023,2.42,48,96,2,12
273,Computer Science,Data Science,18,Female,Doaa Moustafa,2024,1.38,16,128,4,12
274,Science,Science,18,Male,Abdelrahman Khalid,2021,2.89,112,32,1,16
275,Mathematics,Mathematics,25,Female,Mariam Moustafa,2024,3.08,16,128,0,16
276,Computer Science,Software Engineering,19,Male,Ahmed Mahmoud,2021,2.97,96,48,1,16
277,Mathematics,Mathematics,20,Female,Toaa Mahmoud,2023,4.0,32,112,0,16
278,Mathematics,Mathematics,19,Male,Ahmed Abdelrahman,2021,3.29,96,48,0,16
279,Science,Science,23,Female,Doaa Naser,2023,2.18,32,112,2,12
280,Computer Science,Software Engineering,21,Male,Khalid Youssef,2024,1.87,16,128,3,12
281,Computer Science,Information Technology,22,Female,Esraa Ahmed,2023,0.68,32,112,4,12
282,Computer Science,Software Engineering,22,Male,Naser Tamer,2022,0.8,80,64,4,12
283,Science,Science,20,Female,Sabah Naser,2023,3.68,32,112,0,16
284,Mathematics,Mathematics,19,Male,Naser Abdelrahman,2022,0.08,80,64,4,12
285,Engineering,Engineering,18,Female,Doaa Youssef,2020,3.11,128,16,0,16
286,Engineering,Engineering,22,Male,Youssef Mohamed,2020,3.1,128,16,0,16
287,Engineering,Engineering,21,Female,Marwa Mohamed,2023,2.05,32,112,2,12
288,Computer Science,Information Technology,25,Male,Abdelrahman Ahmed,2023,0.25,32,112,4,12
289,Computer Science,Data Science,19,Female,Doha Youssef,2021,3.83,96,48,0,16
290,Computer Science,Data Science,19,Male,Moustafa Ahmed,2023,1.03,32,112,4,12
291,Science,Science,21,Female,Doaa Naser,2022,2.36,80,64,2,12
292,Science,Science,25,Male,Mahmoud Mahmoud,2020,0.82,128,16,4,12
293,Computer Science,Software Engineering,20,Female,Doha Khalid,2024,3.62,16,128,0,16
294,Mathematics,Mathematics,23,Male,Naser Naser,2022,2.89,80,64,1,16
295,Computer Science,Information Technology,19,Female,Esraa Khalid,2021,0.49,96,48,4,12
296,Computer Science,Software Engineering,20,Male,Khalid Youssef,2022,1.24,64,80,4,12
297,Engineering,Engineering,25,Female,Yousra Naser,2024,1.67,16,128,3,12
298,Mathematics,Mathematics,18,Male,Naser Abdelrahman,2020,1.56,128,16,3,12
299,Science,Science,22,Female,Doha Youssef,2023,3.89,32,112,0,16
300,Science,Science,21,Male,Yehia Moustafa,2022,1.21,64,80,4,12
301,Computer Science,Software Engineering,18,Female,Doaa Youssef,2023,0.12,48,96,4,12
302,Mathematics,Mathematics,21,Male,Tamer Mohamed,2024,1.39,16,128,4,12
303,Computer Science,Data Science,20,Female,Mariam Tamer,2020,-0.07,128,16,4,12
304,Mathematics,Mathematics,19,Male,Ahmed Youssef,2022,0.7,80,64,4,12
305,Computer Science,Data Science,19,Female,Mariam Ahmed,2023,2.59,48,96,1,16
306,Computer Science,Data Science,24,Male,Youssef Khalid,2023,4.0,32,112,0,16
307,Science,Science,19,Female,Doaa Youssef,2021,2.6,112,32,1,16
308,Computer Science,Data Science,21,Male,Moustafa Naser,2022,0.59,80,64,4,12
309,Engineering,Engineering,19,Female,Doha Mohamed,2021,0.59,96,48,4,12
310,Computer Science,Software Engineering,18,Male,Mohamed Abdelrahman,2022,3.32,80,64,0,16
311,Mathematics,Mathematics,25,Female,Mayar Ahmed,2024,1.29,16,128,4,12
312,Computer Science,Information Technology,23,Male,Abdelrahman Mohamed,2024,2.92,16,128,1,16
313,Computer Science,Software Engineering,19,Female,Doaa Khalid,2023,2.62,32,112,1,16
314,Computer Science,Data Science,23,Male,Abdelrahman Ahmed,2024,1.46,16,128,4,12
315,Computer Science,Software Engineering,25,Female,Sabah Abdelrahman,2023,1.0,32,112,4,12
316,Engineering,Engineering,21,Male,Ahmed Tamer,2022,4.0,80,64,0,16
317,Engineering,Engineering,25,Female,Mariam Khalid,2022,0.94,64,80,4,12
318,Computer Science,Data Science,25,Male,Tamer Abdelrahman,2022,0.52,64,80,4,12
319,Science,Science,22,Female,Esraa Moustafa,2022,0.29,64,80,4,12
320,Engineering,Engineering,20,Male,Mahmoud Khalid,2020,0.4,128,16,4,12
321,Mathematics,Mathematics,21,Female,Marwa Moustafa,2020,1.23,128,16,4,12
322,Mathematics,Mathematics,21,Male,Mohamed Naser,2021,3.29,96,48,0,16
323,Science,Science,21,Female,Mayar Yehia,2023,0.45,48,96,4,12
324,Science,Science,21,Male,Abdelrahman Yehia,2022,0.26,64,80,4,12
325,Mathematics,Mathematics,21,Female,Doha Tamer,2023,3.13,32,112,0,16
326,Computer Science,Information Technology,23,Male,Khalid Moustafa,2021,1.1,112,32,4,12
327,Computer Science,Information Technology,23,Female,Yousra Tamer,2021,1.91,96,48,3,12
328,Computer Science,Software Engineering,19,Male,Tamer Mohamed,2022,2.13,64,80,2,12
